"click_id","hs_id","otaCode"
46654150,690001889,"bkng"
46654198,690046374,"ctrp"
46654201,690232980,"bkng"
46654219,690086749,"bkng"
46654270,690358772,"htde"
46654297,690071036,"bkng"
46654420,690187265,"amom"
46654702,690182304,"bkng"
46654843,690201863,"bkng"
46654861,690201645,"htls"
46654879,690170216,"bkng"
46655020,690206463,"bkng"
46655068,690234148,"bkng"
46655083,150675813,"last"
46655104,690011461,"hrsd"
46655128,690198561,"bkng"
46655167,690189827,"amom"
46655230,690358772,"bkng"
46655242,690000160,"amom"
46655311,690358772,"htls"
46655356,690198990,"bkng"
46655812,690191736,"last"
46655848,690290912,"bkng"
46655866,690113531,"amom"
46655953,690000870,"bkng"
46655968,690190335,"otel"
46655971,690198561,"bkng"
46656034,690358772,"htde"
46656106,690206970,"bkng"
46656157,690175936,"htls"
46656301,690187349,"bkng"
46656394,690229639,"htls"
46656499,1003141766,"hawy"
46656745,690008271,"htls"
46656772,1000840250,"bkng"
46656796,690358772,"bkng"
46656805,690196582,"otel"
46656967,690044056,"bkng"
46657009,690217680,"last"
46657018,690182304,"amom"
46657237,690187183,"last"
46657330,690000414,"htde"
46657537,690181620,"amom"
46657591,690022624,"bkng"
46657618,690044056,"bkng"
46657720,690057604,"bkng"
46657723,690227507,"htls"
46657732,690206463,"bkng"
46657819,690198720,"bkng"
46657840,690113248,"htls"
46657861,690135864,"agda"
46657882,690235670,"bkng"
46657945,690174142,"bkng"
46658005,690135864,"agda"
46658086,690206463,"init"
46658095,690136967,"bkng"
46658770,690000356,"htls"
46658779,690086749,"htde"
46658821,690113248,"last"
46659076,690175936,"bkng"
46659100,690358772,"bkng"
46659142,690196838,"bkng"
46659277,690190871,"bkng"
46659349,690072966,"bkng"
46659469,690021548,"agda"
46659535,690206463,"last"
46659544,690122769,"htde"
46659547,690071036,"amom"
46659577,690171102,"amom"
46659592,690023391,"last"
46659769,690057604,"bkng"
46659787,690191806,"bkng"
46659838,690171102,"amom"
46659898,690204688,"bkng"
46659955,690225631,"otel"
46659985,690000012,"last"
46660138,690207691,"bkng"
46660174,690086749,"last"
46660180,690191736,"amom"
46660195,690223531,"bkng"
46660333,690135864,"bkng"
46660372,690190403,"bkng"
46660414,690196525,"last"
46660435,690181502,"bkng"
46660483,690194334,"bkng"
46660507,690007208,"htls"
46660528,690008271,"htls"
46660552,690024688,"bkng"
46660612,690191846,"bkng"
46660627,690191736,"bkng"
46660729,690191736,"amom"
46660750,690228586,"bkng"
46660870,690191736,"bkng"
46660897,690225631,"agda"
46661113,690206463,"last"
46661161,690080826,"htls"
